tax	1M	4H	5H	6H	6M	7H	7M	total
Bacteria;Bacteria_none;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurovaceae;Sulfurovum	78	0	0	0	38	814	22	952
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Paraperlucidibaca	208	0	36	3	130	257	310	944
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Halomonas	504	8	3	239	40	30	108	932
Bacteria;Bacteria_none;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage	25	384	0	0	56	117	349	931
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Ulvibacter	156	9	11	258	87	257	93	871
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Moritellaceae;Moritella	5	41	673	2	1	64	55	841
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Chromatocurvus	193	5	7	28	64	129	377	803
Bacteria;Bacteria_none;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_uncultured	122	15	20	0	75	452	89	773
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Pseudofulvibacter	159	213	0	101	10	183	105	771
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus	350	32	4	205	31	66	82	770
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacteriaceae_uncultured	84	44	26	214	62	213	125	768
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Tissierella	40	0	0	0	36	649	41	766
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	250	0	0	384	79	0	43	756
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Peptococcus	381	0	13	0	72	214	72	752
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;IS-44	76	481	22	0	34	0	104	717
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Arenibacter	83	0	19	415	8	98	68	691
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Pseudohaliea	174	16	7	19	58	100	316	690
Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Tessaracoccus	90	0	0	0	34	517	32	673
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Lacimonas	54	58	4	0	62	366	126	670
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Marimicrobium	94	181	14	15	41	53	271	669
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia	191	36	4	1	99	218	88	637
Bacteria;Bacteria_none;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Tyzzerella	1	0	0	0	23	519	83	626
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ia	207	311	0	0	53	24	14	609
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae;BD1-7 clade	160	2	0	2	129	157	158	608
Bacteria;Bacteria_none;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Roseibacillus	61	114	0	0	29	136	267	607
Bacteria;Bacteria_none;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus	0	0	0	571	0	2	12	585
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium	90	28	3	102	51	210	96	580
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Shewanellaceae;Shewanella	209	1	66	109	15	0	168	568
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	263	4	11	73	25	43	145	564
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Winogradskyella	203	39	0	112	37	31	136	558
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina	1	0	0	17	7	470	41	536
Bacteria;Bacteria_none;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulforhopalus	146	22	6	0	41	129	189	533
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Arcticiflavibacter	0	0	0	451	0	0	79	530
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella	381	0	0	80	0	32	37	530
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Unknown Family_uncultured	106	83	58	1	62	63	151	524
Bacteria;Bacteria_none;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulfocapsaceae_uncultured	7	55	31	0	53	227	139	512
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;[Eubacterium] tenue group	184	0	0	0	27	179	118	508
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	384	0	0	0	34	0	78	496
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Psychrilyobacter	0	286	135	0	0	0	51	472
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Haliea	104	5	6	23	32	98	200	468
Bacteria;Bacteria_none;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter	49	31	13	0	28	172	159	452
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Alcanivoracaceae1;Alcanivorax	109	0	3	16	82	84	147	441
Bacteria;Bacteria_none;Bdellovibrionota;Oligoflexia;Oligoflexales;Oligoflexaceae;Oligoflexaceae_uncultured	55	275	0	0	47	1	51	429
Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium	14	10	0	400	0	0	0	424
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	258	59	0	78	0	0	27	422
Bacteria;Bacteria_none;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	62	0	0	340	0	0	9	411
Bacteria;Bacteria_none;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group	52	0	43	0	12	189	103	399
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Nitrincola	121	1	2	1	26	45	195	391
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudohongiellaceae;Pseudohongiella	38	0	0	211	26	39	76	390
